V	Current	
0.39	5.71789E-6
0.4	5.85405E-6
0.41	5.98981E-6
0.42	6.12519E-6
0.43	6.26021E-6
0.44	6.39487E-6
0.45	6.52918E-6
0.46	6.66316E-6
0.47	6.7968E-6
0.48	6.93013E-6
0.49	7.06314E-6
0.5	7.19586E-6
0.51	7.32828E-6
0.52	7.46043E-6
0.53	7.5923E-6
0.54	7.72391E-6
0.55	7.85526E-6
0.56	7.98638E-6
0.57	8.11726E-6
0.58	8.24791E-6
0.59	8.37834E-6
0.6	8.50857E-6
0.61	8.6386E-6
0.62	8.76844E-6
0.63	8.8981E-6
0.64	9.02759E-6
0.65	9.15691E-6
0.66	9.28608E-6
0.67	9.4151E-6
0.68	9.54398E-6
0.69	9.67274E-6
0.7	9.80137E-6
0.71	9.92988E-6
0.72	1.00583E-5
0.73	1.01866E-5
0.74	1.03148E-5
0.75	1.0443E-5
0.76	1.0571E-5
0.77	1.0699E-5
0.78	1.08269E-5
0.79	1.09548E-5
0.8	1.10826E-5
0.81	1.12104E-5
0.82	1.13382E-5
0.83	1.14659E-5
0.84	1.15936E-5
0.85	1.17213E-5
0.86	1.18489E-5
0.87	1.19766E-5
0.88	1.21043E-5
0.89	1.22319E-5
0.9	1.23596E-5
0.91	1.24873E-5
0.92	1.26151E-5
0.93	1.27428E-5
0.94	1.28706E-5
0.95	1.29984E-5
0.96	1.31263E-5
0.97	1.32542E-5
0.98	1.33821E-5
0.99	1.35101E-5
1	1.36382E-5
1.01	1.37647E-5
1.02	1.38913E-5
1.03	1.4018E-5
1.04	1.41447E-5
1.05	1.42715E-5
1.06	1.43984E-5
1.07	1.45253E-5
1.08	1.46523E-5
1.09	1.47793E-5
1.1	1.49065E-5
1.11	1.50337E-5
1.12	1.51609E-5
1.13	1.52883E-5
1.14	1.54157E-5
1.15	1.52823E-5
1.16	1.56707E-5
1.17	1.57984E-5
1.18	1.59261E-5
1.19	1.60538E-5
1.2	1.61817E-5
1.21	1.63096E-5
1.22	1.64376E-5
1.23	1.65656E-5
1.24	1.66938E-5
1.25	1.68219E-5
1.26	1.69502E-5
1.27	1.70785E-5
1.28	1.72068E-5
1.29	1.73352E-5
1.3	1.74637E-5
1.31	1.75922E-5
1.32	1.77207E-5
1.33	1.78493E-5
1.34	1.79779E-5
1.35	1.81066E-5
1.36	1.82353E-5
1.37	1.8364E-5
1.38	1.84927E-5
1.39	1.86214E-5
1.4	1.84594E-5
1.41	1.88788E-5
1.42	1.90076E-5
1.43	1.91363E-5
1.44	1.9265E-5
1.45	1.93936E-5
1.46	1.95223E-5
1.47	1.96509E-5
1.48	1.97794E-5
1.49	1.99079E-5
1.5	2.00364E-5
1.51	2.01648E-5
1.52	2.02931E-5
1.53	2.04213E-5
1.54	2.05495E-5
1.55	2.06775E-5
1.56	2.08055E-5
1.57	2.09333E-5
1.58	2.1061E-5
1.59	2.11886E-5
1.6	2.1316E-5
1.61	2.14433E-5
1.62	2.15705E-5
1.63	2.16974E-5
1.64	2.18242E-5
1.65	2.19509E-5
